name,id,p_primaryCategory,p_subCategory1,p_subCategory2,p_subCategory3,p_subCategory4,p_brakeType,p_experience,p_price,p_suspension,p_group,p_productFamily,p_gender,p_driveTrain,brand,p_material,p_color,p_scene7_id,p_wheelSize,price,url
Demo Alloy 27.5,154304,Sale,Bikes,Mountain Bikes,Downhill Mountain Bikes,Demo,Disc,Downhill,$2500-$5000,Front & Rear,Bikes,Demo,Men|Women,1x,Mountain,Aluminum,Gloss / Cool Grey / Ion,94519-51_DEMO_8-I-ALLOY-27.5_CLGRY-ION_HERO,27.5,3400,https://www.specialized.com/us/en/demo-alloy-27-5/p/154304?color=226112-154304
Roubaix Comp,154469,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Bikes,Roubaix,Men,2x,Road,Carbon,Gloss Tarmac Black/Green Chameleon Edge Fade/Team Yellow/Clean,94419-53_RBX_COMP_TARBLK-CMLNGRN-TEAMYEL_HERO,700C,3400,https://www.specialized.com/us/en/roubaix-comp/p/154469?color=227322-154469
Turbo Como 4.0 650b - Low-Entry,170298,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Rigid,Bikes,Turbo Como,Women,1x,E-Bike,Aluminum,Charcoal / Black / Chrome,90420-52_COMO-40-LOW-ENTRY-650B-CHAR-BLK-CHRM_HERO,NA,3350,https://www.specialized.com/us/en/turbo-como-4-0-650b--low-entry/p/170298?color=264380-170298
Turbo Como 4.0 650b,170299,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Rigid,Bikes,Turbo Como,Men,1x,E-Bike,Aluminum,Charcoal / Black / Chrome,90420-50_COMO-40-650B-CHAR-BLK-CHRM_HERO,NA,3350,https://www.specialized.com/us/en/turbo-como-4-0-650b/p/170299?color=264306-170299
Mens Stumpjumper Comp Alloy 27.5 – 12-speed,157616,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Aluminum,Gloss White / Tarmac Black,93319-51_SJ-FSR_COMP-27.5-12-SPD_WHT-TARBLK_HERO,27.5,3320,https://www.specialized.com/us/en/mens-stumpjumper-comp-alloy-27-5-12-speed/p/157616?color=236403-157616
Womens Stumpjumper Comp 27.5—12-speed,157624,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper,Women,1x,Mountain,Aluminum,Satin Gloss / Cast Berry / Black,96319-52_SJ-FSR-WMN_COMP-27.5-12-SPD_CSTBRY-BLK_HERO,27.5,3320,https://www.specialized.com/us/en/womens-stumpjumper-comp-27-512-speed/p/157624?color=236444-157624
Mens Stumpjumper Comp Alloy 29 – 12-speed,157617,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper,Men,1x,Mountain,Aluminum,Gloss White / Tarmac Black,93319-53_SJ-FSR_COMP-29-12-SPD_WHT-TARBLK_HERO,29,3320,https://www.specialized.com/us/en/mens-stumpjumper-comp-alloy-29-12-speed/p/157617?color=236397-157617
Womens Stumpjumper ST Comp Alloy 29 – 12-speed,157623,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper ST,Women,1x,Mountain,Aluminum,Gloss Satin White Mountains / Nice Blue / Tropical Teal,95319-51_SJ-FSR-ST-WMN_COMP-29-12-SPD_WHTMTN-NICEBLU-TRPTL_HERO,29,3320,https://www.specialized.com/us/en/womens-stumpjumper-st-comp-alloy-29-12-speed/p/157623?color=236409-157623
Turbo Como 3.0 650b,154280,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Turbo Levo|Urban,$2500-$5000,Rigid,Bikes,Turbo Como,Men,1x,E-Bike|Fitness,Aluminum,Black,90418-71_COMO_3-0-650B_BLK_HERO,700C,3250,https://www.specialized.com/us/en/turbo-como-3-0-650b/p/154280?color=239442-154280
Ruby Expert,133930,Sale,Bikes,Road Bikes,Performance Road Bikes,Ruby,Disc,Performance Road,$2500-$5000,Front,Bikes,Ruby,Women,2x,Road,Carbon,Gloss  Satin Tarmac Black/Cali Fade/Black,90218-30_RUBY_EXPERT_TARBLK-CALFDE-BLK_HERO,NA,3600,https://www.specialized.com/us/en/ruby-expert/p/133930?color=240071-133930
Epic Comp EVO,155039,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic,Disc,Cross Country,$2500-$5000,Front & Rear,Bikes,Epic Evo,Men,1x,Mountain,Aluminum,Gloss Rocket Red/Tarmac Black,90319-56_EPIC_COMP-EVO-29_RKTRED-TARBLK_HERO,29,3220,https://www.specialized.com/us/en/epic-comp-evo/p/155039?color=255228-155039
Fatboy Comp Carbon,154358,Sale,Bikes,Mountain Bikes,Fat Bikes,Fatboy,Disc,Trail,$2500-$5000,Rigid,Bikes,Fatboy,Men|Women,1x,Mountain,Carbon,Gloss Black/Charcoal/Rocket Red,99519-50_FAT_COMP-CARBON_BLK-CHAR-RKTRED_HERO,26,3220,https://www.specialized.com/us/en/fatboy-comp-carbon/p/154358?color=236321-154358
CruX Elite,154294,Sale,Bikes,Road Bikes,Cyclocross Bikes,CruX,Disc,Cyclocross,$2500-$5000,Rigid,Bikes,CruX,Men|Women,1x,Road,Carbon,Rocket Red/Tarmac Black,91419-40_CRUX_ELITE_ACDPNK-ACDPRP-TEAMYEL_HERO,700C,3200,https://www.specialized.com/us/en/crux-elite/p/154294?color=227218-154294
Sequoia Expert,154496,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Sequoia,Disc,Adventure|Performance Road,$2500-$5000,Rigid,Bikes,Sequoia,Men|Women,1x,Road,Steel,Majove/Charcoal Reflective,90519-30_SEQ_EXPERT_MJV-CHAR_HERO,700C,3200,https://www.specialized.com/us/en/sequoia-expert/p/154496?color=227624-154496
S-Works Stumpjumper 27.5 Frameset,154549,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Trail,$2500-$5000,Front & Rear,Framesets,Stumpjumper,Men,1x,Mountain,Carbon,Gloss / Sunset Acid Kiwi,75718-01_SJ-FSR-MEN-SW-CARBON-275-FRM-SNST-ACDKWI_HERO,27.5,3200,https://www.specialized.com/us/en/s-works-stumpjumper-27-5-frameset/p/154549?color=226128-154549
Fuse Comp Carbon 27.5+,154365,Sale,Bikes,Mountain Bikes,Trail Bikes,Fuse,Disc,Trail,$2500-$5000,Front,Bikes,Fuse,Men|Women,1x,Mountain,Carbon,Satin Gloss Oak/Team Yellow,96019-52_FUSE_COMP-CARBON-296FATTIE_OAKGRN-TEAMYEL_HERO,29|6Fattie,3200,https://www.specialized.com/us/en/fuse-comp-carbon-27-5/p/154365?color=236290-154365
S-Works Stumpjumper 29 Frameset,154550,Sale,Bikes,S-Works Bikes,NA,NA,Disc,Trail,$2500-$5000,Front & Rear,Framesets,Stumpjumper,Men,1x,Mountain,Carbon,Gloss / Sunset Acid Kiwi,75718-03_SJ-FSR-MEN-SW-CARBON-29-FRM-SNST-ACDKWI_HERO,29,3200,https://www.specialized.com/us/en/s-works-stumpjumper-29-frameset/p/154550?color=226126-154550
Ruby Comp,154486,Sale,Bikes,Road Bikes,Performance Road Bikes,Ruby,Disc,Performance Road,$2500-$5000,Front,Bikes,Ruby,Women,2x,Road,Carbon,Gloss /Sunset/Acid Kiwi/Black,90219-52_RUBY_COMP_SNST-ACDKWI-BLK_HERO,700C,3400,https://www.specialized.com/us/en/ruby-comp/p/154486?color=239542-154486
Mens Stumpjumper ST Comp Alloy 29,159205,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Stumpjumper ST,Men,1x,Mountain,Aluminum,Gloss White Sage / Black,93219-51_SJ-FSR-ST_COMP-29_WHTSGE-BLK_HERO,29,3020,https://www.specialized.com/us/en/mens-stumpjumper-st-comp-alloy-29/p/159205?color=239758-159205
Mens Diverge Sport,154625,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$2500-$5000,Front,Bikes,Diverge,Men,2x,Road,Carbon,Satin Tarmac Black/Flo Red,95419-61_DIV_SPORT_WHTMTN-NICEBLU_HERO,700C,3000,https://www.specialized.com/us/en/mens-diverge-sport/p/154625?color=227314-154625
Shiv Elite,154497,Sale,Bikes,Road Bikes,Triathlon Bikes,Shiv,Rim,Performance Road|Triathlon,$2500-$5000,Rigid,Bikes,Shiv,Men|Women,2x,Road,Carbon,Tarmac Black/Dream Silver,97419-40_SHIV_ELITE_ACDPNK-RKTRED-TARBLK_HERO,700C,3000,https://www.specialized.com/us/en/shiv-elite/p/154497?color=237595-154497
Womens Diverge Sport,154648,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$2500-$5000,Front,Bikes,Diverge,Women,2x,Road,Carbon,Gloss Teal Tint/Acid Mint/Black,95419-63_DIV-WMN_SPORT_TLTNT-ACDMNT-BLK_HERO,700C,3000,https://www.specialized.com/us/en/womens-diverge-sport/p/154648?color=237227-154648
Turbo Como 3.0 650b,170301,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Rigid,Bikes,Turbo Como,Men,1x,E-Bike,Aluminum,Metallic Crimson / Black / Chrome,90420-70_COMO-30-650B-CSTBLU-BLK-HYP_HERO,NA,2950,https://www.specialized.com/us/en/turbo-como-3-0-650b/p/170301?color=264308-170301
Turbo Como 3.0 650b - Low-Entry,170300,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Rigid,Bikes,Turbo Como,Women,1x,E-Bike,Aluminum,Lilac / Black,90420-72_COMO-30-LOW-ENTRY-650B-LLC-BLK_HERO,NA,2950,https://www.specialized.com/us/en/turbo-como-3-0-650b--low-entry/p/170300?color=264287-170300
S-Works Epic Hardtail Frameset - LTD,154655,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic Hardtail,Disc,Cross Country,$2500-$5000,Front,Framesets,Epic Hardtail,Men,1x,Mountain,Carbon,Gloss Teal Tint/Red Flake Tint/Cosmic Black,71319-03_EPIC-HT_SW-CARBON-LTD-FRM-29_TLTNT-REDFLKTNT-CSMBLK_HERO,29,2950,https://www.specialized.com/us/en/s-works-epic-hardtail-frameset---ltd/p/154655?color=237768-154655
Ruby Comp,128997,Sale,Bikes,Road Bikes,Performance Road Bikes,Ruby,Disc,Performance Road,NA,Front,Bikes,Ruby,Women,2x,Road,Carbon,Gloss Cast Berry/Mint/Black,90218-50_RUBY_COMP_CSTBRY-MNT-BLK_HERO,NA,3400,https://www.specialized.com/us/en/ruby-comp/p/128997?color=240066-128997
Mens Epic Comp,128860,Featured,NA,NA,NA,NA,Disc,Cross Country,$2500-$5000,Front & Rear,Bikes,Epic FSR,Men,1x,Mountain,Aluminum,Gloss Light Blue/Rocket Red,90318-50_EPIC-MEN_COMP-29_LTBLU-RKTRED_HERO,29,2900,https://www.specialized.com/us/en/mens-epic-comp/p/128860?color=240111-128860
Roubaix Sport,170245,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Bikes,Roubaix,Men,2x,Road,Carbon,Satin Carbon/Storm Gray,94420-61_ROUBAIX-SPORT-CARB-RKTRED-BLK_HERO,NA,2900,https://www.specialized.com/us/en/roubaix-sport/p/170245?color=263102-170245
Turbo Como 2.0 Low-Entry 650b,133845,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Urban,$2500-$5000,Rigid,Bikes,Turbo Como,Men|Women,1x,E-Bike,Aluminum,Acid Lava/Chrome/UV Lilac,90418-80_COMO_2-0-LOW-ENTRY-650B_ACDLAVA-CHRM-UVLLC_HERO,NA,2850,https://www.specialized.com/us/en/turbo-como-2-0-low-entry-650b/p/133845?color=240275-133845
Turbo Como 2.0 650b,133846,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Urban,$2500-$5000,Rigid,Bikes,Turbo Como,Men,1x,E-Bike,Aluminum,Cali Fade/Black,90418-82_COMO_2-0-650B_CALFDE-BLK_HERO,NA,2850,https://www.specialized.com/us/en/turbo-como-2-0-650b/p/133846?color=240277-133846
Turbo Como 2.0 650b,154281,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Turbo Levo|Urban,$2500-$5000,Rigid,Bikes,Turbo Como,Men,1x,E-Bike|Fitness,Aluminum,Platinum/Black,90418-83_COMO_2-0-650B_PLAT-BLK_HERO,700C,2850,https://www.specialized.com/us/en/turbo-como-2-0-650b/p/154281?color=234592-154281
Womens Turbo Vado 2.0 - 2018,154582,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Turbo Levo|Urban,$2500-$5000,Front,Bikes,Turbo Vado,Women,1x,E-Bike|Fitness,Aluminum,Satin Metallic White Silver/Black,95018-82_VADO-WMN_2-0_METWHTSIL-BLK_HERO,700C,2850,https://www.specialized.com/us/en/womens-turbo-vado-2-0--2018/p/154582?color=227694-154582
Turbo Como 2.0 Low-Entry 650b,154275,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Turbo Levo|Urban,$2500-$5000,Rigid,Bikes,Turbo Como,Women,1x,E-Bike|Fitness,Aluminum,Cast Blue/Black,90418-81_COMO_2-0-LOW-ENTRY-650B_CSTBLU-BLK_HERO,700C,2850,https://www.specialized.com/us/en/turbo-como-2-0-low-entry-650b/p/154275?color=234613-154275
S-Works CruX Frameset,154299,Sale,Bikes,Road Bikes,Cyclocross Bikes,CruX,Disc,Cyclocross,$2500-$5000,Rigid,Framesets,CruX,Men|Women,1x|2x,Road,Carbon,Satin Battleship/Gloss Hyper/Clean,71419-00_CRUX_SW-FRMSET_ACDPNK-CMLN-METWHTSIL_HERO,700C,2800,https://www.specialized.com/us/en/s-works-crux-frameset/p/154299?color=239548-154299
S-Works Enduro 27.5 Frameset,154329,Sale,Bikes,Mountain Bikes,Trail Bikes,Enduro,Disc,Trail,$2500-$5000,Front & Rear,Framesets,Enduro,Men|Women,1x,Mountain,Carbon,Gloss Sunset/Acid Kiwi,73619-01_END_SW-CARBON-27.5-FRM_SNST-ACDKWI_HERO,27.5,3500,https://www.specialized.com/us/en/s-works-enduro-27-5-frameset/p/154329?color=227123-154329
Mens Epic Hardtail Comp,154334,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic Hardtail,Disc,Cross Country,$2500-$5000,Front,Bikes,Epic Hardtail,Men,1x,Mountain,Carbon,Gloss Blue Tint Carbon/Ion,91319-50_EPIC-HT_COMP-CARBON-29_BLUTNT-ION_HERO,29,2720,https://www.specialized.com/us/en/mens-epic-hardtail-comp/p/154334?color=237764-154334
Womens Tarmac Disc Sport,154555,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Bikes,Tarmac,Women,2x,Road,Carbon,Gloss Uv Lilac/Black Reflective,97219-61_TAR-WMN_SL6-SPORT-DISC_UVLLC-BLK_HERO,700C,2700,https://www.specialized.com/us/en/womens-tarmac-disc-sport/p/154555?color=237244-154555
Mens Tarmac Disc Sport,154556,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Disc,Performance Road,$2500-$5000,Rigid,Bikes,Tarmac,Men,2x,Road,Carbon,Satin Cast Battleship/Hyper/Clean,90619-63_TAR_SL6-SPORT-DISC_FLORED-METWHTSIL-TARBLK_HERO,700C,2700,https://www.specialized.com/us/en/mens-tarmac-disc-sport/p/154556?color=227230-154556
Mens Sirrus Pro Carbon,173456,Sale,Bikes,Active Bikes,Urban Bikes,Sale,Disc,Fitness|Urban,$2500-$5000,Front,Bikes,Sirrus,Men,2x,Fitness,Carbon,Satin Oil Slick Chameleon/Light Silver/Black Reflective,80919-10_SIR_PRO-CARBON_OIL-LTSIL-BLK_HERO,700C,2700,https://www.specialized.com/us/en/mens-sirrus-pro-carbon/p/173456?color=270950-173456
Roubaix Sport,154477,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$2500-$5000,Front,Bikes,Roubaix,Men,2x,Road,Carbon,Gloss Tarmac Black/Oil,94419-62_RBX_SPORT_RKTRED-BLK-RKTRED_HERO,700C,2700,https://www.specialized.com/us/en/roubaix-sport/p/154477?color=227342-154477
Turbo Vado 3.0,170305,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,NA,$2500-$5000,Front,Bikes,Turbo Vado,Men,1x,E-Bike,Aluminum,Storm Grey / Black / Liquid Silver,95020-78_VADO-30-CHAR-BLK-LQDSIL_HERO,700C,2700,https://www.specialized.com/us/en/turbo-vado-3-0/p/170305?color=274059-170305
Enduro Comp 29/6Fattie,129274,Sale,Bikes,Mountain Bikes,Trail Bikes,Enduro,Disc,Trail,$2500-$5000,Front & Rear,Bikes,Enduro,Men,1x,Mountain,Aluminum,Gloss Black/Hyper,93618-52_END-FSR_COMP-29-6FATTIE_BLK-HYP_HERO,29,3200,https://www.specialized.com/us/en/enduro-comp-29-6fattie/p/129274?color=240151-129274
Womens Turbo Vado 1.0,157806,Sale,Bikes,Active Bikes,Sale,Bikes,Disc,Fitness|Turbo Levo|Urban,$2500-$5000,Front,Bikes,Turbo Vado,Women,1x,E-Bike|Fitness,Aluminum,Metallic White Silver W/Blue Ghost Pearl / Black,95019-92_VADO-WMN_1.0_METWHTSIL-BLUGSTPRL-BLK_HERO,700C,2550,https://www.specialized.com/us/en/womens-turbo-vado-1-0/p/157806?color=237756-157806
Womens Diverge,154311,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$1000-$2500|$2500-$5000,Front,Bikes,Diverge,Women,2x,Road,Carbon,Satin Storm Grey/Ice Blue/Reflective,95419-75_DIV-WMN_BASE_STRMGRY-ICEBLU_HERO,700C,2500,https://www.specialized.com/us/en/womens-diverge/p/154311?color=239528-154311
Mens Diverge,154305,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$1000-$2500|$2500-$5000,Front,Bikes,Diverge,Men,2x,Road,Carbon,Carbon/Acid Kiwi,95419-70_DIV_BASE_CARB-ACDKWI_HERO,700C,2500,https://www.specialized.com/us/en/mens-diverge/p/154305?color=239511-154305
S-Works Epic Hardtail Frameset,154339,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Epic Hardtail,Disc,Cross Country,$1000-$2500|$2500-$5000,Front,Framesets,Epic Hardtail,Men,1x,Mountain,Carbon,Gloss Carbon/White,71319-00_EPIC-HT_SW-CARBON-29-FRM_CARB-WHT_HERO,29,2500,https://www.specialized.com/us/en/s-works-epic-hardtail-frameset/p/154339?color=239056-154339
Tarmac Pro Frameset,155118,Sale,Bikes,Road Bikes,Performance Road Bikes,Tarmac,Rim,Performance Road,$1000-$2500|$2500-$5000,Rigid,Framesets,Tarmac,Men|Women,2x,Road,Carbon,Satin Black/Flo Red/Clean,70618-10_TARMAC-MEN-SL6-PRO-FRMSET-BLK-FLORED_HERO,700C,2500,https://www.specialized.com/us/en/tarmac-pro-frameset/p/155118?color=227250-155118
P.Slope,154409,Sale,Bikes,Mountain Bikes,BMX & Dirt Jump Bikes,P.Series,Disc,BMX / Dirt Jump,$1000-$2500|$2500-$5000,Front & Rear,Bikes,P. Series,Men|Women,1x,Mountain,Aluminum,Gloss Jet Fuel/Black,91919-80_P_P.SLOPE_JETFUEL-BLK_HERO,26,2500,https://www.specialized.com/us/en/p-slope/p/154409?color=236316-154409
Demo Race 29 Frame,154302,Sale,Bikes,Mountain Bikes,Downhill Mountain Bikes,Demo,Disc,Downhill,$1000-$2500|$2500-$5000,Front & Rear,Framesets,Demo,Men|Women,1x,Mountain,Aluminum|Carbon,Gloss / Acid Mint / Burnt Yellow,74519-00_DEMO_RACE-29-FRM_ACDMNT-BNTYEL_HERO,29,2500,https://www.specialized.com/us/en/demo-race-29-frame/p/154302?color=226088-154302
Ruby Sport,154490,Sale,Bikes,Road Bikes,Performance Road Bikes,Ruby,Disc,Performance Road,$2500-$5000,Front,Bikes,Ruby,Women,2x,Road,Carbon,Gloss/Teal Tint /Acid Mint,90219-60_RUBY_SPORT_BLUTNT-AQAHALFLK-ACDMNT_HERO,700C,2700,https://www.specialized.com/us/en/ruby-sport/p/154490?color=239545-154490
Allez Sprint Comp Disc,154235,Sale,Bikes,Road Bikes,Performance Road Bikes,Allez,Disc,Performance Road,$1000-$2500,Rigid,Bikes,Allez,Men|Women,2x,Road,Aluminum,Gloss Brushed/Nice Blue,90019-53_ALLEZ_SPRINT-COMP-DISC_BRSH-NICEBLU_HERO,700C,2200,https://www.specialized.com/us/en/allez-sprint-comp-disc/p/154235?color=239317-154235
CruX E5 Sport,154295,Sale,Bikes,Road Bikes,Cyclocross Bikes,CruX,Disc,Cyclocross,$1000-$2500,Rigid,Bikes,CruX,Men|Women,1x,Road,Aluminum,Gloss Team Yellow/Acid Mint/Tarmac Black/Clean,91419-60_CRUX_E5-SPORT_CLGRY-BLUGSTPRL_HERO,700C,2200,https://www.specialized.com/us/en/crux-e5-sport/p/154295?color=227237-154295
Roubaix,170558,Sale,Bikes,Road Bikes,Performance Road Bikes,Roubaix,Disc,Performance Road,$1000-$2500,Front,Bikes,Roubaix,Men,2x,Road,Carbon,Gloss Flo Red w/Blue Ghost Pearl/Tarmac Black,94420-71_ROUBAIX-DSTLLC-SUMBLU-HYP_HERO,NA,2200,https://www.specialized.com/us/en/roubaix/p/170558?color=263083-170558
Mens Sirrus Expert Carbon,154510,Sale,Bikes,Active Bikes,Urban Bikes,Sale,Disc,Fitness|Urban,$1000-$2500,Front,Bikes,Sirrus,Men,2x,Fitness,Carbon,Satin Blue Flake Tint / Chameleon Blue-Purple / Charcoal,80918-30_SIR-MEN_EXPERT-CARBON_GRPH-CMLN-CHAR_HERO,700C,2100,https://www.specialized.com/us/en/mens-sirrus-expert-carbon/p/154510?color=225841-154510
Womens Sirrus Expert Carbon,154529,Sale,Bikes,Active Bikes,Urban Bikes,Sale,Disc,Fitness|Urban,$1000-$2500,Front,Bikes,Sirrus,Women,2x,Fitness,Carbon,Cali Fade/Satin Black,82918-30_SIR-WMN_EXPERT-CARBON_CALFDE-BLK_HERO,700C,2100,https://www.specialized.com/us/en/womens-sirrus-expert-carbon/p/154529?color=240215-154529
Mens Sirrus Expert Carbon,173455,Sale,Bikes,Active Bikes,Urban Bikes,Sale,Disc,Fitness|Urban,$1000-$2500,Front,Bikes,Sirrus,Men,2x,Fitness,Carbon,Gloss Storm Grey/Rocket Red/Black Reflective,80919-30_SIR_EXPERT-CARBON_STRMGRY-RKTRED-BLK_HERO,700C,2100,https://www.specialized.com/us/en/mens-sirrus-expert-carbon/p/173455?color=270892-173455
Womens Sirrus Expert Carbon,173463,Sale,Bikes,Active Bikes,Urban Bikes,Sale,Disc,Fitness|Urban,$1000-$2500,Rigid,Bikes,Sirrus,Women,2x,Fitness,Carbon,Gloss Ice Blue-Storm Grey/Acid Lava,82919-30_SIR-WMN_EXPERT-CARBON_ICEBLU-STRMGRY-ACDLAVA_HERO,700C,2100,https://www.specialized.com/us/en/womens-sirrus-expert-carbon/p/173463?color=270910-173463
Womens Chisel Expert,154343,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Chisel,Disc,Cross Country,$1000-$2500,Front,Bikes,Chisel,Women,1x,Mountain,Aluminum,Satin Gloss Black/Acid Kiwi,91719-33_CHISEL-WMN_DSW-EXPERT-29_ACDLAVA-PLMPRP_HERO,29,2020,https://www.specialized.com/us/en/womens-chisel-expert/p/154343?color=239095-154343
Mens Chisel Expert,154335,Sale,Bikes,Mountain Bikes,Cross Country Mountain Bikes,Chisel,Disc,Cross Country,$1000-$2500,Front,Bikes,Chisel,Men,1x,Mountain,Aluminum,Satin Gloss Black/White,91719-32_CHISEL_DSW-EXPERT-29_STRMGRY-RKTRED_HERO,29,2020,https://www.specialized.com/us/en/mens-chisel-expert/p/154335?color=239072-154335
Sequoia Elite,129126,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Sequoia,Disc,Adventure|Urban,$1000-$2500,Rigid,Bikes,Sequoia,Men|Women,2x,Road,Steel,California White Sage/Graphite,166329,NA,2000,https://www.specialized.com/us/en/sequoia-elite/p/129126?color=240193-129126
Fuse Expert 27.5+,155027,Sale,Bikes,Mountain Bikes,Trail Bikes,Fuse,Disc,Trail,$1000-$2500,Front,Bikes,Fuse,Men|Women,1x,Mountain,Aluminum,Gloss East Sierras/Black,96019-30_FUSE_EXPERT-296FATTIE_ESTSRS-BLK_HERO,29|6Fattie,2000,https://www.specialized.com/us/en/fuse-expert-27-5/p/155027?color=236322-155027
Sequoia Elite,154494,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Sequoia,Disc,Adventure|Performance Road,$1000-$2500,Rigid,Bikes,Sequoia,Men|Women,1x,Road,Steel,Kombu/Charcoal Reflective,90519-40_SEQ_ELITE_ESTSRS-CHAR_HERO,700C,2000,https://www.specialized.com/us/en/sequoia-elite/p/154494?color=239551-154494
Fatboy,154356,Sale,Bikes,Mountain Bikes,Fat Bikes,Fatboy,Disc,Trail,$1000-$2500,Rigid,Bikes,Fatboy,Men|Women,1x,Mountain,Aluminum,Gloss Tarmac Black/Charcoal,99519-70_FAT_BASE_ACDMNT-BLK_HERO,26,1920,https://www.specialized.com/us/en/fatboy/p/154356?color=236288-154356
Womens Diverge E5 Comp,133789,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Urban,NA,Front,Bikes,Diverge,Women,2x,Road,Aluminum,Satin Cast Berry/Mint,95418-52_DIV-WMN_E5-COMP_CSTBRY-MNT_HERO.psd,NA,1900,https://www.specialized.com/us/en/womens-diverge-e5-comp/p/133789?color=239518-133789
Allez Sprint Comp,154234,Sale,Bikes,Road Bikes,Performance Road Bikes,Allez,Rim,Performance Road,$1000-$2500,Rigid,Bikes,Allez,Men|Women,2x,Road,Aluminum,Satin Black/Reflective Light Silver/Clean,90019-51_ALLEZ_SPRINT-COMP_CSMMNT-OIL_HERO,700C,1900,https://www.specialized.com/us/en/allez-sprint-comp/p/154234?color=239540-154234
Mens Diverge E5 Comp,154247,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$1000-$2500,Front,Bikes,Diverge,Men,2x,Road,Aluminum,Gloss East Sierras/Tarmac Black,95419-55_DIV_E5-COMP_ESTSRS-TARBLK_HERO,700C,1900,https://www.specialized.com/us/en/mens-diverge-e5-comp/p/154247?color=239512-154247
Womens Diverge E5 Comp,157774,Sale,Bikes,Road Bikes,Adventure & Gravel Bikes,Diverge,Disc,Adventure|Performance Road,$1000-$2500,Front,Bikes,Diverge,Women,2x,Road,Aluminum,Gloss Cast Berry/Storm/Ice Blue,95419-57_DIV-WMN_E5-COMP_CSTBRY-STRMGRY-ICEBLU_HERO,700C,1900,https://www.specialized.com/us/en/womens-diverge-e5-comp/p/157774?color=239315-157774
Mens Stumpjumper ST 29,154262,Sale,Bikes,Mountain Bikes,Trail Bikes,Stumpjumper,Disc,Trail,$1000-$2500,Front & Rear,Bikes,Stumpjumper ST,Men,1x,Mountain,Aluminum,Gloss/East Sierras/Rocket Red,94718-73_SJ-FSR-ST-MEN-29-ESTSRS-RKTRED_HERO,29,1870,https://www.specialized.com/us/en/mens-stumpjumper-st-29/p/154262?color=226080-154262
